"2Theta","J_0_AD_","J_0_GL_","J_0_HT_"
4.00336514,467,484,565
4.016495422677854,476,451,480
4.029625705355709,430,482,479
4.042755988033564,463,457,468
4.055886270711419,465,463,559
4.0690165533892735,457,482,538
4.082146836067128,497,483,494
4.095277118744983,434,448,536
4.108407401422838,461,434,495
4.1215376841006925,488,443,500
4.134667966778547,450,445,508
4.147798249456402,445,455,477
4.160928532134257,481,460,501
4.174058814812112,413,496,462
4.187189097489966,465,495,477
4.200319380167822,482,477,459
4.213449662845677,443,448,506
4.2265799455235316,436,421,509
4.239710228201386,482,425,479
4.252840510879241,476,446,473
4.265970793557096,500,434,509
4.279101076234951,469,455,530
4.292231358912805,419,438,498
4.30536164159066,455,480,497
4.318491924268515,452,424,456
4.33162220694637,446,475,484
4.3447524896242244,459,484,514
4.357882772302079,483,459,483
4.371013054979934,462,465,468
4.384143337657789,451,455,469
4.3972736203356435,476,463,528
4.410403903013498,440,458,448
4.423534185691353,446,442,473
4.436664468369208,459,470,483
4.449794751047063,466,504,522
4.462925033724917,486,474,483
4.476055316402772,448,436,518
4.489185599080627,456,476,496
4.502315881758482,452,460,484
4.515446164436336,492,486,479
4.528576447114191,474,472,492
4.541706729792047,508,475,473
4.554837012469902,469,470,504
4.567967295147756,492,465,483
4.581097577825611,496,492,488
4.594227860503466,468,486,477
4.607358143181321,465,481,466
4.620488425859175,483,458,464
4.63361870853703,460,468,507
4.646748991214885,468,481,497
4.65987927389274,497,463,512
4.6730095565705945,479,505,477
4.686139839248449,513,446,448
4.699270121926304,513,501,479
4.712400404604159,515,467,511
4.7255306872820135,510,469,472
4.738660969959868,504,490,494
4.751791252637723,495,477,469
4.764921535315578,485,456,480
4.778051817993433,493,456,516
4.791182100671287,523,462,460
4.804312383349142,517,501,461
4.817442666026997,537,509,460
4.830572948704852,496,448,480
4.843703231382706,532,492,433
4.856833514060561,508,501,461
4.869963796738416,555,507,446
4.883094079416271,495,492,479
4.8962243620941255,487,469,421
4.90935464477198,529,509,460
4.922484927449835,544,530,470
4.93561521012769,500,526,451
4.9487454928055445,538,539,464
4.9618757754834,502,476,516
4.975006058161255,554,523,432
4.98813634083911,527,494,497
5.0012666235169645,550,485,462
5.014396906194819,582,498,441
5.027527188872674,557,520,442
5.040657471550529,547,505,455
5.0537877542283836,595,518,464
5.066918036906238,536,518,453
5.080048319584093,542,520,466
5.093178602261948,572,536,456
5.106308884939803,532,510,437
5.119439167617657,539,512,486
5.132569450295512,566,568,467
5.145699732973367,550,553,483
5.158830015651222,555,566,497
5.1719602983290764,574,540,458
5.185090581006931,567,511,457
5.198220863684786,594,490,427
5.211351146362641,554,543,488
5.2244814290404955,563,588,484
5.23761171171835,589,495,472
5.250741994396205,602,497,502
5.263872277074061,545,529,481
5.2770025597519155,593,553,462
5.29013284242977,590,511,484
5.303263125107625,608,529,420
5.31639340778548,617,529,427
5.3295236904633345,579,538,448
5.342653973141189,566,520,487
5.355784255819044,587,535,431
5.368914538496899,574,583,441
5.382044821174754,563,579,485
5.395175103852608,569,536,416
5.408305386530463,642,552,460
5.421435669208318,620,573,444
5.434565951886173,608,502,467
5.447696234564027,569,535,471
5.460826517241882,566,537,461
5.473956799919737,591,600,492
5.487087082597592,598,548,469
5.5002173652754465,605,564,430
5.513347647953301,554,547,436
5.526477930631156,615,516,400
5.539608213309011,591,573,453
5.5527384959868655,591,587,449
5.56586877866472,625,544,462
5.578999061342575,628,537,440
5.59212934402043,649,590,461
5.605259626698285,634,592,403
5.618389909376139,598,585,441
5.631520192053994,595,578,417
5.644650474731849,598,553,521
5.657780757409704,636,633,436
5.670911040087558,594,564,387
5.684041322765413,666,537,415
5.697171605443268,614,634,464
5.710301888121123,635,622,448
5.7234321707989775,633,644,463
5.736562453476833,609,604,446
5.749692736154688,615,581,392
5.762823018832543,648,575,475
5.775953301510397,655,577,439
5.789083584188252,657,594,477
5.802213866866107,640,634,433
5.815344149543962,650,602,455
5.8284744322218165,656,580,449
5.841604714899671,622,565,462
5.854734997577526,686,605,461
5.867865280255381,674,595,428
5.8809955629332356,655,644,467
5.89412584561109,702,596,452
5.907256128288945,668,632,467
5.9203864109668,657,611,459
5.933516693644655,647,622,416
5.946646976322509,629,597,447
5.959777259000364,689,669,482
5.972907541678219,635,620,441
5.986037824356074,697,631,426
5.9991681070339284,719,658,440
6.012298389711784,717,645,408
6.025428672389639,678,642,460
6.038558955067494,727,649,446
6.051689237745348,690,675,449
6.064819520423203,692,645,429
6.077949803101058,699,684,427
6.091080085778913,707,635,408
6.1042103684567675,687,624,463
6.117340651134622,724,627,453
6.130470933812477,753,688,462
6.143601216490332,681,636,442
6.1567314991681865,730,646,482
6.169861781846041,722,635,463
6.182992064523896,732,681,467
6.196122347201751,732,612,445
6.209252629879606,762,682,444
6.22238291255746,743,634,482
6.235513195235315,718,662,453
6.24864347791317,720,647,460
6.261773760591025,790,660,442
6.274904043268879,752,666,439
6.288034325946734,779,684,385
6.301164608624589,734,661,399
6.314294891302444,746,695,404
6.3274251739802985,785,717,438
6.340555456658153,795,716,456
6.353685739336008,749,693,412
6.366816022013863,749,721,454
6.3799463046917175,775,762,445
6.393076587369572,760,724,402
6.406206870047427,794,696,428
6.419337152725282,753,686,424
6.432467435403137,787,696,470
6.445597718080991,780,747,414
6.458728000758846,815,722,447
6.471858283436701,759,661,415
6.484988566114556,787,707,416
6.49811884879241,803,740,413
6.511249131470265,803,769,412
6.524379414148121,773,743,401
6.537509696825976,832,691,435
6.55063997950383,800,722,348
6.563770262181685,803,682,449
6.57690054485954,896,734,443
6.590030827537395,822,694,411
6.603161110215249,827,715,466
6.616291392893104,841,762,410
6.629421675570959,857,715,405
6.642551958248814,876,719,452
6.6556822409266685,857,712,467
6.668812523604523,801,717,416
6.681942806282378,848,733,437
6.695073088960233,775,703,410
6.7082033716380876,823,714,454
6.721333654315943,886,679,409
6.734463936993798,815,700,402
6.747594219671653,865,765,420
6.7607245023495075,874,685,418
6.773854785027362,812,705,446
6.786985067705217,861,720,425
6.800115350383072,921,718,390
6.813245633060927,906,699,397
6.826375915738781,847,728,446
6.839506198416636,905,762,407
6.852636481094491,907,677,456
6.865766763772346,958,715,451
6.8788970464502,940,667,405
6.892027329128055,919,762,410
6.90515761180591,894,660,406
6.918287894483765,926,709,397
6.9314181771616195,867,696,407
6.944548459839474,964,744,406
6.957678742517329,910,704,426
6.970809025195184,921,783,496
6.9839393078730385,894,690,431
6.997069590550893,921,711,397
7.010199873228748,984,711,425
7.023330155906603,947,701,429
7.036460438584458,975,679,420
7.049590721262312,972,700,391
7.062721003940167,965,689,430
7.075851286618022,1017,714,408
7.088981569295877,960,755,451
7.102111851973731,1023,702,407
7.115242134651586,994,710,390
7.128372417329441,967,705,394
7.141502700007296,997,698,426
7.1546329826851505,953,692,401
7.167763265363005,996,667,429
7.18089354804086,967,692,440
7.194023830718715,992,719,417
7.2071541133965695,1018,682,376
7.220284396074424,1047,704,427
7.233414678752279,1002,680,425
7.246544961430134,1012,763,419
7.259675244107989,1050,665,433
7.272805526785844,1048,662,409
7.285935809463699,1028,673,427
7.299066092141554,1088,742,396
7.3121963748194085,1043,700,420
7.325326657497263,1002,670,417
7.338456940175118,1104,723,418
7.351587222852973,1084,671,403
7.364717505530828,1018,675,424
7.377847788208682,1027,663,485
7.390978070886537,1009,647,452
7.404108353564392,1028,697,393
7.417238636242247,1078,673,427
7.430368918920101,1022,618,438
7.443499201597956,1038,698,391
7.456629484275811,1032,666,418
7.469759766953667,1076,649,402
7.482890049631521,992,675,431
7.496020332309376,1085,618,403
7.509150614987231,1037,687,407
7.522280897665086,1073,687,430
7.53541118034294,1053,690,430
7.548541463020795,1018,698,432
7.56167174569865,1076,657,415
7.574802028376505,1038,642,435
7.5879323110543595,1103,622,411
7.601062593732214,1027,652,389
7.614192876410069,1110,602,435
7.627323159087924,1040,683,367
7.640453441765779,1000,637,381
7.653583724443633,1126,698,428
7.666714007121488,1103,663,417
7.679844289799343,1041,661,449
7.692974572477198,1117,672,418
7.706104855155052,1057,646,446
7.719235137832907,1092,663,421
7.732365420510762,1038,608,380
7.745495703188617,1057,664,400
7.7586259858664715,1076,633,426
7.771756268544326,1038,656,422
7.784886551222181,1057,657,417
7.798016833900036,1074,672,467
7.8111471165778905,1106,629,417
7.824277399255745,1025,639,433
7.8374076819336,1094,644,375
7.850537964611455,1066,653,452
7.86366824728931,1013,664,417
7.876798529967164,1070,625,442
7.889928812645019,1081,674,412
7.903059095322874,1028,652,431
7.916189378000729,1039,659,433
7.929319660678583,1074,658,410
7.942449943356438,1044,709,407
7.955580226034293,1043,625,413
7.968710508712148,1119,659,396
7.9818407913900025,1057,642,424
7.994971074067857,1090,674,432
8.008101356745712,1090,642,403
8.021231639423569,1080,683,408
8.034361922101422,1105,680,399
8.047492204779278,1083,635,425
8.060622487457131,1037,645,415
8.073752770134988,1043,654,434
8.08688305281284,1083,630,401
8.100013335490697,1094,670,426
8.11314361816855,1093,643,399
8.126273900846407,1120,650,400
8.13940418352426,1006,652,420
8.152534466202116,1024,642,426
8.16566474887997,1049,662,439
8.178795031557826,1007,661,409
8.191925314235679,1021,672,416
8.205055596913535,1070,640,414
8.218185879591388,1032,677,421
8.231316162269245,1029,641,441
8.244446444947098,998,711,447
8.257576727624954,1064,637,430
8.270707010302807,1001,664,479
8.283837292980664,1004,629,482
8.296967575658517,1017,714,434
