"2Theta","J_SF_250_AD","J_SF_250_GL","J_SF_250_HT"
4.00336514,464,420,444
4.016495422677854,408,395,421
4.029625705355709,443,400,436
4.042755988033564,420,428,454
4.055886270711419,455,457,469
4.0690165533892735,451,462,447
4.082146836067128,476,416,458
4.095277118744983,442,441,462
4.108407401422838,480,432,464
4.1215376841006925,460,428,443
4.134667966778547,473,436,472
4.147798249456402,492,457,452
4.160928532134257,477,457,458
4.174058814812112,442,475,428
4.187189097489966,469,397,428
4.200319380167822,435,422,450
4.213449662845677,448,449,449
4.2265799455235316,427,452,468
4.239710228201386,473,449,447
4.252840510879241,463,473,390
4.265970793557096,445,472,469
4.279101076234951,474,456,421
4.292231358912805,451,434,428
4.30536164159066,454,468,402
4.318491924268515,458,426,449
4.33162220694637,450,419,434
4.3447524896242244,477,408,463
4.357882772302079,454,447,440
4.371013054979934,433,410,432
4.384143337657789,447,433,462
4.3972736203356435,496,464,467
4.410403903013498,459,500,426
4.423534185691353,474,428,492
4.436664468369208,471,457,454
4.449794751047063,465,450,438
4.462925033724917,491,487,455
4.476055316402772,461,500,515
4.489185599080627,440,456,433
4.502315881758482,496,453,436
4.515446164436336,464,456,479
4.528576447114191,497,466,491
4.541706729792047,497,474,465
4.554837012469902,476,510,483
4.567967295147756,497,495,435
4.581097577825611,472,485,448
4.594227860503466,472,494,488
4.607358143181321,483,465,485
4.620488425859175,514,480,484
4.63361870853703,509,511,461
4.646748991214885,497,457,491
4.65987927389274,506,493,464
4.6730095565705945,541,522,496
4.686139839248449,490,519,543
4.699270121926304,482,515,497
4.712400404604159,497,509,489
4.7255306872820135,492,517,514
4.738660969959868,505,551,510
4.751791252637723,517,540,499
4.764921535315578,493,503,528
4.778051817993433,577,516,534
4.791182100671287,497,538,537
4.804312383349142,541,548,492
4.817442666026997,547,537,511
4.830572948704852,517,525,510
4.843703231382706,541,528,516
4.856833514060561,569,552,533
4.869963796738416,570,523,554
4.883094079416271,559,559,556
4.8962243620941255,552,614,541
4.90935464477198,539,609,526
4.922484927449835,554,592,490
4.93561521012769,536,569,533
4.9487454928055445,560,567,533
4.9618757754834,525,570,528
4.975006058161255,551,557,576
4.98813634083911,549,594,553
5.0012666235169645,569,636,567
5.014396906194819,590,621,593
5.027527188872674,624,610,555
5.040657471550529,594,592,542
5.0537877542283836,639,624,606
5.066918036906238,588,619,575
5.080048319584093,571,620,596
5.093178602261948,600,635,588
5.106308884939803,617,675,619
5.119439167617657,624,620,543
5.132569450295512,596,652,579
5.145699732973367,612,628,616
5.158830015651222,595,623,547
5.1719602983290764,624,659,602
5.185090581006931,551,690,608
5.198220863684786,670,670,587
5.211351146362641,635,626,640
5.2244814290404955,650,605,610
5.23761171171835,592,629,619
5.250741994396205,606,623,618
5.263872277074061,643,658,624
5.2770025597519155,662,614,592
5.29013284242977,652,620,586
5.303263125107625,667,625,572
5.31639340778548,722,646,628
5.3295236904633345,647,622,633
5.342653973141189,624,637,611
5.355784255819044,738,643,620
5.368914538496899,678,628,675
5.382044821174754,655,623,592
5.395175103852608,711,614,601
5.408305386530463,691,636,618
5.421435669208318,701,666,630
5.434565951886173,678,606,661
5.447696234564027,722,632,645
5.460826517241882,729,637,628
5.473956799919737,746,622,699
5.487087082597592,723,632,640
5.5002173652754465,717,657,670
5.513347647953301,765,635,667
5.526477930631156,793,614,618
5.539608213309011,686,642,643
5.5527384959868655,790,639,641
5.56586877866472,747,627,704
5.578999061342575,733,608,678
5.59212934402043,744,566,686
5.605259626698285,814,609,666
5.618389909376139,737,636,664
5.631520192053994,730,612,694
5.644650474731849,766,663,675
5.657780757409704,754,650,653
5.670911040087558,767,618,695
5.684041322765413,801,645,665
5.697171605443268,779,657,664
5.710301888121123,770,657,738
5.7234321707989775,813,591,700
5.736562453476833,806,677,671
5.749692736154688,769,616,679
5.762823018832543,770,623,708
5.775953301510397,802,597,666
5.789083584188252,781,609,668
5.802213866866107,813,689,715
